additive_id,substrate_id,additive_substrate
a1,s1,a1+s1
a1,s2,a1+s2
a1,s3,a1+s3
a1,s4,a1+s4
a1,s5,a1+s5
a1,s6,a1+s6
a1,s7,a1+s7
a1,s8,a1+s8
a1,s9,a1+s9
a1,s10,a1+s10
a1,s11,a1+s11
a1,s12,a1+s12
a1,s13,a1+s13
a1,s14,a1+s14
a1,s15,a1+s15
a2,s1,a2+s1
a2,s2,a2+s2
a2,s3,a2+s3
a2,s4,a2+s4
a2,s5,a2+s5
a2,s6,a2+s6
a2,s7,a2+s7
a2,s8,a2+s8
a2,s9,a2+s9
a2,s10,a2+s10
a2,s11,a2+s11
a2,s12,a2+s12
a2,s13,a2+s13
a2,s14,a2+s14
a2,s15,a2+s15
a3,s1,a3+s1
a3,s2,a3+s2
a3,s3,a3+s3
a3,s4,a3+s4
a3,s5,a3+s5
a3,s6,a3+s6
a3,s7,a3+s7
a3,s8,a3+s8
a3,s9,a3+s9
a3,s10,a3+s10
a3,s11,a3+s11
a3,s12,a3+s12
a3,s13,a3+s13
a3,s14,a3+s14
a3,s15,a3+s15
a4,s1,a4+s1
a4,s2,a4+s2
a4,s3,a4+s3
a4,s4,a4+s4
a4,s5,a4+s5
a4,s6,a4+s6
a4,s7,a4+s7
a4,s8,a4+s8
a4,s9,a4+s9
a4,s10,a4+s10
a4,s11,a4+s11
a4,s12,a4+s12
a4,s13,a4+s13
a4,s14,a4+s14
a4,s15,a4+s15
a5,s1,a5+s1
a5,s2,a5+s2
a5,s3,a5+s3
a5,s4,a5+s4
a5,s5,a5+s5
a5,s6,a5+s6
a5,s7,a5+s7
a5,s8,a5+s8
a5,s9,a5+s9
a5,s10,a5+s10
a5,s11,a5+s11
a5,s12,a5+s12
a5,s13,a5+s13
a5,s14,a5+s14
a5,s15,a5+s15
a6,s1,a6+s1
a6,s2,a6+s2
a6,s3,a6+s3
a6,s4,a6+s4
a6,s5,a6+s5
a6,s6,a6+s6
a6,s7,a6+s7
a6,s8,a6+s8
a6,s9,a6+s9
a6,s10,a6+s10
a6,s11,a6+s11
a6,s12,a6+s12
a6,s13,a6+s13
a6,s14,a6+s14
a6,s15,a6+s15
a7,s1,a7+s1
a7,s2,a7+s2
a7,s3,a7+s3
a7,s4,a7+s4
a7,s5,a7+s5
a7,s6,a7+s6
a7,s7,a7+s7
a7,s8,a7+s8
a7,s9,a7+s9
a7,s10,a7+s10
a7,s11,a7+s11
a7,s12,a7+s12
a7,s13,a7+s13
a7,s14,a7+s14
a7,s15,a7+s15
a8,s1,a8+s1
a8,s2,a8+s2
a8,s3,a8+s3
a8,s4,a8+s4
a8,s5,a8+s5
a8,s6,a8+s6
a8,s7,a8+s7
a8,s8,a8+s8
a8,s9,a8+s9
a8,s10,a8+s10
a8,s11,a8+s11
a8,s12,a8+s12
a8,s13,a8+s13
a8,s14,a8+s14
a8,s15,a8+s15
a9,s1,a9+s1
a9,s2,a9+s2
a9,s3,a9+s3
a9,s4,a9+s4
a9,s5,a9+s5
a9,s6,a9+s6
a9,s7,a9+s7
a9,s8,a9+s8
a9,s9,a9+s9
a9,s10,a9+s10
a9,s11,a9+s11
a9,s12,a9+s12
a9,s13,a9+s13
a9,s14,a9+s14
a9,s15,a9+s15
a10,s1,a10+s1
a10,s2,a10+s2
a10,s3,a10+s3
a10,s4,a10+s4
a10,s5,a10+s5
a10,s6,a10+s6
a10,s7,a10+s7
a10,s8,a10+s8
a10,s9,a10+s9
a10,s10,a10+s10
a10,s11,a10+s11
a10,s12,a10+s12
a10,s13,a10+s13
a10,s14,a10+s14
a10,s15,a10+s15
a11,s1,a11+s1
a11,s2,a11+s2
a11,s3,a11+s3
a11,s4,a11+s4
a11,s5,a11+s5
a11,s6,a11+s6
a11,s7,a11+s7
a11,s8,a11+s8
a11,s9,a11+s9
a11,s10,a11+s10
a11,s11,a11+s11
a11,s12,a11+s12
a11,s13,a11+s13
a11,s14,a11+s14
a11,s15,a11+s15
a12,s1,a12+s1
a12,s2,a12+s2
a12,s3,a12+s3
a12,s4,a12+s4
a12,s5,a12+s5
a12,s6,a12+s6
a12,s7,a12+s7
a12,s8,a12+s8
a12,s9,a12+s9
a12,s10,a12+s10
a12,s11,a12+s11
a12,s12,a12+s12
a12,s13,a12+s13
a12,s14,a12+s14
a12,s15,a12+s15
a13,s1,a13+s1
a13,s2,a13+s2
a13,s3,a13+s3
a13,s4,a13+s4
a13,s5,a13+s5
a13,s6,a13+s6
a13,s7,a13+s7
a13,s8,a13+s8
a13,s9,a13+s9
a13,s10,a13+s10
a13,s11,a13+s11
a13,s12,a13+s12
a13,s13,a13+s13
a13,s14,a13+s14
a13,s15,a13+s15
a14,s1,a14+s1
a14,s2,a14+s2
a14,s3,a14+s3
a14,s4,a14+s4
a14,s5,a14+s5
a14,s6,a14+s6
a14,s7,a14+s7
a14,s8,a14+s8
a14,s9,a14+s9
a14,s10,a14+s10
a14,s11,a14+s11
a14,s12,a14+s12
a14,s13,a14+s13
a14,s14,a14+s14
a14,s15,a14+s15
a15,s1,a15+s1
a15,s2,a15+s2
a15,s3,a15+s3
a15,s4,a15+s4
a15,s5,a15+s5
a15,s6,a15+s6
a15,s7,a15+s7
a15,s8,a15+s8
a15,s9,a15+s9
a15,s10,a15+s10
a15,s11,a15+s11
a15,s12,a15+s12
a15,s13,a15+s13
a15,s14,a15+s14
a15,s15,a15+s15
a16,s1,a16+s1
a16,s2,a16+s2
a16,s3,a16+s3
a16,s4,a16+s4
a16,s5,a16+s5
a16,s6,a16+s6
a16,s7,a16+s7
a16,s8,a16+s8
a16,s9,a16+s9
a16,s10,a16+s10
a16,s11,a16+s11
a16,s12,a16+s12
a16,s13,a16+s13
a16,s14,a16+s14
a16,s15,a16+s15
a17,s1,a17+s1
a17,s2,a17+s2
a17,s3,a17+s3
a17,s4,a17+s4
a17,s5,a17+s5
a17,s6,a17+s6
a17,s7,a17+s7
a17,s8,a17+s8
a17,s9,a17+s9
a17,s10,a17+s10
a17,s11,a17+s11
a17,s12,a17+s12
a17,s13,a17+s13
a17,s14,a17+s14
a17,s15,a17+s15
a18,s1,a18+s1
a18,s2,a18+s2
a18,s3,a18+s3
a18,s4,a18+s4
a18,s5,a18+s5
a18,s6,a18+s6
a18,s7,a18+s7
a18,s8,a18+s8
a18,s9,a18+s9
a18,s10,a18+s10
a18,s11,a18+s11
a18,s12,a18+s12
a18,s13,a18+s13
a18,s14,a18+s14
a18,s15,a18+s15
a19,s1,a19+s1
a19,s2,a19+s2
a19,s3,a19+s3
a19,s4,a19+s4
a19,s5,a19+s5
a19,s6,a19+s6
a19,s7,a19+s7
a19,s8,a19+s8
a19,s9,a19+s9
a19,s10,a19+s10
a19,s11,a19+s11
a19,s12,a19+s12
a19,s13,a19+s13
a19,s14,a19+s14
a19,s15,a19+s15
a20,s1,a20+s1
a20,s2,a20+s2
a20,s3,a20+s3
a20,s4,a20+s4
a20,s5,a20+s5
a20,s6,a20+s6
a20,s7,a20+s7
a20,s8,a20+s8
a20,s9,a20+s9
a20,s10,a20+s10
a20,s11,a20+s11
a20,s12,a20+s12
a20,s13,a20+s13
a20,s14,a20+s14
a20,s15,a20+s15
