,electrophile_smiles
0,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1
1,Brc1ccccc1-c1ccccc1
2,Cc1cc(F)ccc1Cl
3,Cc1cccc(C)c1Cl
4,Cc1nc2cc(OS(=O)(=O)N(C)C)ccc2s1
5,Brc1ccsc1
6,Cc1c(N)cccc1Cl
7,COc1ccc(Br)cc1
8,FC(F)(F)c1ccc(Br)cc1
9,CN(C)C(=O)c1ccc(Cl)cc1
10,Clc1ccc2[nH]ccc2c1
11,CCOC(=O)c1cc(Br)cn1CC
12,CCOC(=O)c1ccc(Cl)c(F)c1
13,COC(=O)c1ccc(Br)cc1
14,CN(C)S(=O)(=O)Oc1ccc2ncccc2c1
15,Brc1cnc2ccccc2c1
16,Cc1ncccc1Br
17,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
18,COc1ccc(Br)cc1F
19,N#Cc1ccc(Br)cc1F
20,CN(C)S(=O)(=O)Oc1ccc(-c2ccccc2)cc1
21,Brc1ccc2c(c1)OCO2
22,Brc1ccc2occc2c1
23,COc1cc(Cl)ccc1F
24,FC(F)(F)c1ccc(Cl)cc1
25,Clc1cnc2ccccc2c1
26,COc1ncc(Br)c(OC)n1
27,COC(=O)c1ccc(Cl)cc1
28,Clc1ccc2c(c1)OCO2
29,COc1ccc(Cl)cc1F
30,Clc1ccc(-c2ccccc2)cc1
31,Brc1ccc(-c2ccccc2)cc1
32,N#Cc1ccc(Cl)cc1F
